"","TV","Radio","Newspaper","Sales"
"97",197.6,3.5,5.9,11.7
"98",184.9,21,22,15.5
"99",289.7,42.3,51.2,25.4
"100",135.2,41.7,45.9,17.2
"101",222.4,4.3,49.8,11.7
"102",296.4,36.3,100.9,23.8
"103",280.2,10.1,21.4,14.8
"104",187.9,17.2,17.9,14.7
"105",238.2,34.3,5.3,20.7
"106",137.9,46.4,59,19.2
"107",25,11,29.7,7.2
"108",90.4,0.3,23.2,8.7
"109",13.1,0.4,25.6,5.3
"110",255.4,26.9,5.5,19.8
"111",225.8,8.2,56.5,13.4
"112",241.7,38,23.2,21.8
"113",175.7,15.4,2.4,14.1
"114",209.6,20.6,10.7,15.9
"115",78.2,46.8,34.5,14.6
"116",75.1,35,52.7,12.6
"117",139.2,14.3,25.6,12.2
"118",76.4,0.8,14.8,9.4
"119",125.7,36.9,79.2,15.9
"120",19.4,16,22.3,6.6
"121",141.3,26.8,46.2,15.5
"122",18.8,21.7,50.4,7
"123",224,2.4,15.6,11.6
"124",123.1,34.6,12.4,15.2
"125",229.5,32.3,74.2,19.7
"126",87.2,11.8,25.9,10.6
"127",7.8,38.9,50.6,6.6
"128",80.2,0,9.2,8.8
"129",220.3,49,3.2,24.7
"130",59.6,12,43.1,9.7
"131",0.7,39.6,8.7,1.6
"132",265.2,2.9,43,12.7
"133",8.4,27.2,2.1,5.7
"134",219.8,33.5,45.1,19.6
"135",36.9,38.6,65.6,10.8
"136",48.3,47,8.5,11.6
"137",25.6,39,9.3,9.5
"138",273.7,28.9,59.7,20.8
"139",43,25.9,20.5,9.6
"140",184.9,43.9,1.7,20.7
"141",73.4,17,12.9,10.9
"142",193.7,35.4,75.6,19.2
"143",220.5,33.2,37.9,20.1
"144",104.6,5.7,34.4,10.4
"145",96.2,14.8,38.9,11.4
"146",140.3,1.9,9,10.3
"147",240.1,7.3,8.7,13.2
"148",243.2,49,44.3,25.4
"149",38,40.3,11.9,10.9
"150",44.7,25.8,20.6,10.1
"151",280.7,13.9,37,16.1
"152",121,8.4,48.7,11.6
"153",197.6,23.3,14.2,16.6
"154",171.3,39.7,37.7,19
"155",187.8,21.1,9.5,15.6
"156",4.1,11.6,5.7,3.2
"157",93.9,43.5,50.5,15.3
"158",149.8,1.3,24.3,10.1
"159",11.7,36.9,45.2,7.3
"160",131.7,18.4,34.6,12.9
"161",172.5,18.1,30.7,14.4
"162",85.7,35.8,49.3,13.3
"163",188.4,18.1,25.6,14.9
"164",163.5,36.8,7.4,18
"165",117.2,14.7,5.4,11.9
"166",234.5,3.4,84.8,11.9
"167",17.9,37.6,21.6,8
"168",206.8,5.2,19.4,12.2
"169",215.4,23.6,57.6,17.1
"170",284.3,10.6,6.4,15
"171",50,11.6,18.4,8.4
"172",164.5,20.9,47.4,14.5
"173",19.6,20.1,17,7.6
"174",168.4,7.1,12.8,11.7
"175",222.4,3.4,13.1,11.5
"176",276.9,48.9,41.8,27
"177",248.4,30.2,20.3,20.2
"178",170.2,7.8,35.2,11.7
"179",276.7,2.3,23.7,11.8
"180",165.6,10,17.6,12.6
"181",156.6,2.6,8.3,10.5
"182",218.5,5.4,27.4,12.2
"183",56.2,5.7,29.7,8.7
"184",287.6,43,71.8,26.2
"185",253.8,21.3,30,17.6
"186",205,45.1,19.6,22.6
"187",139.5,2.1,26.6,10.3
"188",191.1,28.7,18.2,17.3
"189",286,13.9,3.7,15.9
"190",18.7,12.1,23.4,6.7
"191",39.5,41.1,5.8,10.8
"192",75.5,10.8,6,9.9
"193",17.2,4.1,31.6,5.9
"194",166.8,42,3.6,19.6
"195",149.7,35.6,6,17.3
"196",38.2,3.7,13.8,7.6
"197",94.2,4.9,8.1,9.7
"198",177,9.3,6.4,12.8
"199",283.6,42,66.2,25.5
"200",232.1,8.6,8.7,13.4
